,epoch,learning_coef,optimizer,batch_size,acc,f1,loss,time_per_epoch,time_overall
0,10,0.001,SGD,100,0.3515,0.3515,1.7477399110794067,38.480401,384.80401
1,10,0.001,SGD,500,0.2764,0.2764,2.038662910461426,20.8665934,208.66593399999996
2,10,0.001,SGD,1000,0.2422,0.2422,2.1750199794769287,18.8488781,188.48878099999996
3,10,0.001,Adam,100,0.4746,0.4746,1.2098262310028076,39.0236321,390.236321
4,10,0.001,Adam,500,0.464,0.464,1.5202856063842773,20.2762597,202.762597
5,10,0.001,Adam,1000,0.4537,0.4537,1.5262563228607178,19.05879,190.5879
6,10,0.005,SGD,100,0.4337,0.4337,1.6695955991744995,38.3267921,383.267921
7,10,0.005,SGD,500,0.3594,0.35940000000000005,1.8681187629699707,20.406167,204.06167
8,10,0.005,SGD,1000,0.3193,0.3193,1.8797696828842163,18.8624789,188.624789
9,10,0.005,Adam,100,0.4022,0.4022,1.617891788482666,39.1643401,391.64340100000004
10,10,0.005,Adam,500,0.4468,0.4468,1.506332516670227,20.5165735,205.16573499999996
11,10,0.005,Adam,1000,0.342,0.342,1.7966574430465698,22.722815399999998,227.228154
12,10,0.01,SGD,100,0.451,0.451,1.5132932662963867,38.410097,384.10097
13,10,0.01,SGD,500,0.3912,0.3912,1.7432653903961182,20.2780599,202.780599
14,10,0.01,SGD,1000,0.3594,0.35940000000000005,1.7891205549240112,18.834177099999998,188.34177099999997
15,10,0.01,Adam,100,0.1,0.10000000000000002,13.700383186340332,40.07469199999999,400.74692000000005
16,10,0.01,Adam,500,0.1,0.10000000000000002,14.53852367401123,20.793489400000002,207.934894
17,10,0.01,Adam,1000,0.1,0.10000000000000002,14.635231971740723,19.338406199999998,193.384062
18,15,0.001,SGD,100,0.3685,0.3685,1.7959632873535156,39.0079312,390.079312
19,15,0.001,SGD,500,0.2639,0.2639,2.07755708694458,20.345863499999997,203.45863500000002
20,15,0.001,SGD,1000,0.2285,0.2285,2.168731927871704,19.226299599999997,192.262996
21,15,0.001,Adam,100,0.4696,0.4696,1.3800021409988403,39.633866999999995,396.33867
22,15,0.001,Adam,500,0.4634,0.4634,1.5855662822723389,20.615579200000003,206.155792
23,15,0.001,Adam,1000,0.4557,0.4557,1.5424420833587646,19.420110700000002,194.201107
24,15,0.005,SGD,100,0.4281,0.4281,1.6156672239303589,38.939527299999995,389.39527300000003
25,15,0.005,SGD,500,0.3594,0.35940000000000005,1.8581193685531616,20.489471900000005,204.894719
26,15,0.005,SGD,1000,0.3218,0.3218,1.9497102499008179,19.571619300000002,195.71619299999995
27,15,0.005,Adam,100,0.4278,0.4278,1.8254830837249756,39.816677399999996,398.166774
28,15,0.005,Adam,500,0.4098,0.4098,1.67576003074646,21.3571217,213.57121700000002
29,15,0.005,Adam,1000,0.3889,0.3889,1.6716481447219849,19.650524,196.50524000000001
30,15,0.01,SGD,100,0.4531,0.4531,1.5807621479034424,38.9969305,389.96930499999996
31,15,0.01,SGD,500,0.3891,0.3891,1.7548991441726685,21.185411799999997,211.854118
32,15,0.01,SGD,1000,0.3579,0.3579,1.7891340255737305,19.7261281,197.26128100000003
33,15,0.01,Adam,100,0.1,0.10000000000000002,14.989829063415527,40.0602913,400.602913
34,15,0.01,Adam,500,0.1,0.10000000000000002,14.635229110717773,20.834591600000003,208.34591600000002
35,15,0.01,Adam,1000,0.1,0.10000000000000002,14.441813468933105,19.8093331,198.09333099999998
