,model,batch_size,learning_coef,epochs,cost_func,optimizer,use_w2v,max_len,embedding_len,h_size,acc,f1,loss,time
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,SGD,False,500,100,8,0.5235,0.34361667213652775,0.6926696300506592,1287.4586960000001
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,Adam,False,500,100,8,0.4795,0.33232401590749255,0.6893482804298401,1280.702006
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,SGD,False,500,100,8,0.477,0.3254432985435766,0.6933989524841309,1257.110292
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,Adam,False,500,100,8,0.533,0.3976711671507654,0.649627149105072,1260.612489
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,SGD,True,500,300,8,0.477,0.3237861767930656,0.6940758228302002,3913.650422
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,Adam,True,500,300,8,0.4765,0.3227226549271927,0.6952061653137207,4229.649306
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,SGD,True,500,300,8,0.467,0.33316318360156943,0.6935197710990906,4209.980173
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,Adam,True,500,300,8,0.532,0.40913865546218486,0.6734160780906677,3970.297783
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,Adam,True,64,300,8,0.7355,0.7330654905400984,0.5496324896812439,347.780646
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,SGD,False,64,100,8,0.5,0.4847570526454634,0.6932645440101624,273.26498300000003
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,Adam,False,64,100,8,0.7475,0.747021301056925,0.39364349842071533,276.96138500000006
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,SGD,False,64,100,8,0.4765,0.3260325557817491,0.6920899152755737,241.244598
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,Adam,False,64,100,8,0.7355,0.7349018723494884,0.39430946111679077,255.403415
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,SGD,True,64,300,8,0.4785,0.33502478036850336,0.6906943321228027,933.5748739999999
0,LSTM,100,0.001,4,SparseCategoricalCrossentropy,Adam,True,64,300,8,0.731,0.7302985064151859,0.5651256442070007,950.923288
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,SGD,True,64,300,8,0.4815,0.3487389746438397,0.6952154636383057,942.7449099999999
0,LSTM,100,0.005,4,SparseCategoricalCrossentropy,Adam,True,64,300,8,0.7555,0.7541719755549416,0.5303860306739807,955.5476639999999
0,LSTM,100,0.005,5,SparseCategoricalCrossentropy,Adam,False,64,100,8,0.82096,0.8208745597444045,0.2875439524650574,683.266645
0,RNN_emb,100,0.005,5,SparseCategoricalCrossentropy,Adam,False,64,100,8,0.71656,0.7156348003058989,0.5491050481796265,318.30848199999997
0,LSTM_emb,100,0.005,5,SparseCategoricalCrossentropy,Adam,False,64,100,8,0.8138,0.8127936117043773,0.25510770082473755,548.0389359999999
0,RNN_w2v,100,0.005,5,SparseCategoricalCrossentropy,Adam,True,64,300,8,0.72648,0.725597202735798,0.5500411987304688,1499.5603919999999
0,LSTM_w2v,100,0.005,5,SparseCategoricalCrossentropy,Adam,True,64,300,8,0.7986,0.7985842602461675,0.3890984356403351,1681.840674
